Title	Text	Added by	Date	Time limit	Source limit	Memory limit	Cluster	Languages	Resource	URL
NQUEEN - Yet Another N-Queen Problem	"After solving Solution to the n  Queens Puzzle by constructing, LoadingTime wants to solve a harder version of the N-Queen Problem. Some queens have been set on particular locations on the board in this problem. Can you help him??
Input
The input contains multiple test cases. Every line begins with an integer N (N<=50), then N integers followed, representing the column number of the queen in each rows. If the number is 0, it means no queen has been set on this row. You can assume there is at least one solution. 
Output
For each test case, print a line consists of N numbers separated by spaces, representing the column number of the queen in each row. If there are more than one answer, print any one of them. 
Example

Input:
4 0 0 0 0
8 2 0 0 0 4 0 0 0

Output:
2 4 1 3
2 6 1 7 4 8 3 5"	Bin Jin	2007-09-06	1s	10000B	1536MB	Cube (Intel G860)	All except: CPP	own problem	https://www.spoj.com//problems/NQUEEN
DETER2 - Find The Determinant II	"In this problem you have to calculate the determinant of an N x N matrix whose entries are given by m[i][j] = gcd(i,j)k, 1 ≤ i,j ≤ N.
Here gcd(i,j) denotes the greatest common divisor of i and j.
As the determinant D can grow very large, you have to print D%1000003.

Input
First line of input consists of a single integer containing the number of test cases T ( equal to around 20), each of the following T lines contain two integers N and k where N is the size of the matrix and k is the exponent.
1 ≤ N ≤ 1000000
1 ≤ k ≤ 109
Output
One line corresponding to each test case containing the determinant modulo 1000003 for the corresponding test case.

Example

Input:
3
4 2
2 4
4 3


Output:
288
15
10192

Note: You may want to solve DETER first, in case you havent already solved it."	Ajay Somani	2007-09-07	1s	2048B	1536MB	Cube (Intel G860)	All except: ERL JS-RHINO NODEJS PERL6 VB.NET	"""The Art of Computer Programming"""	https://www.spoj.com//problems/DETER2
ALL - All Discs Considered	"Operating systems are large software artefacts composed of many packages, usually distributed on several media, e.g., discs.
You probably remember the time when your favourite operating system was delivered on 21 floppy discs, or, a few years later, on 6 CDs.
Nowadays, it will be shipped on several DVDs, each containing tens of thousands of packages.



The installation of certain packages may require that other packages have been installed previously.
Therefore, if the packages are distributed on the media in an unsuitable way, the installation of the complete system requires you to perform many media changes, provided that there is only one reading device available, e.g., one DVD-ROM drive.
Since you have to start the installation somehow, there will of course be one or more packages that can be installed independently of all other packages.



Given a distribution of packages on media and a list of dependences between packages, you have to calculate the minimal number of media changes required to install all packages.
For your convenience, you may assume that the operating system comes on exactly 2 DVDs.

Input

The input contains several test cases.
Every test case starts with three integers N1, N2, D.
You may assume that 1<=N1,N2<=50000 and 0<=D<=100000.
The first DVD contains N1 packages, identified by the numbers 1, 2, ..., N1.
The second DVD contains N2 packages, identified by the numbers N1+1, N1+2, ..., N1+N2.
Then follow D dependence specifications, each consisting of two integers xi, yi.
You may assume that 1<=xi,yi<=N1+N2 for 1<=i<=D.
The dependence specification means that the installation of package xi requires the previous installation of package yi.
You may assume that there are no circular dependences.
The last test case is followed by three zeros.


Output

For each test case output on a line the minimal number of DVD changes required to install all packages.
By convention, the DVD drive is empty before the installation and the initial insertion of a disc counts as one change.
Likewise, the final removal of a disc counts as one change, leaving the DVD drive empty after the installation.

Example

Input:
3 2 1
1 2
2 2 2
1 3
4 2
2 1 1
1 3
0 0 0

Output:
3
4
3"	Wanderley GuimarÄes	2007-09-14	1s	50000B	1536MB	Cube (Intel G860)	All except: ERL JS-RHINO	University of Ulm Local Contest 2004	https://www.spoj.com//problems/ALL
BOOLE - Boolean Logic	"Propositions are logical formulas consisting of proposition symbols and connecting operators.
They are recursively defined by the following rules:


All proposition symbols (in this problem, lower-case alphabetic characters, e.g., a and z) are propositions.

If P is a proposition, (!P) is a proposition, and P is a direct subformula of it.
If P and Q are propositions, (P&Q), (P|Q), (P-->Q), and (P<->Q) are propositions, and P and Q are direct subformulas of them.

Nothing else is a proposition.


The operations !, &, |, -->, and <-> denote logical negation, conjunction, disjunction, implication, and equivalence, respectively.
A proposition P is a subformula of a proposition R if P=R or P is a direct subformula of a proposition Q and Q is a subformula of R.




Let P be a proposition and assign boolean values (i.e., 0 or 1) to all proposition symbols that occur in P.
This induces a boolean value to all subformulas of P according to the standard semantics of the logical operators:





negation
conjunction
disjunction
implication
equivalence

!0=1
0&0=0
0|0=0
0-->0=1
0<->0=1

!1=0
0&1=0
0|1=1
0-->1=1
0<->1=0


1&0=0
1|0=1
1-->0=0
1<->0=0


1&1=1
1|1=1
1-->1=1
1<->1=1




This way, a value for P can be calculated.
This value depends on the choice of the assignment of boolean values to the proposition symbols.
If P contains n different proposition symbols, there are 2n different assignments.
To evaluate all possible assignments we may use truth tables.




A truth table contains one line per assignment (i.e., 2n lines in total).
Every line contains the values of all subformulas under the chosen assignment.
The value of a subformula is aligned with the proposition symbol, if the subformula is a proposition symbol, and with the center of the operator otherwise.

Input Specification


The input contains several test cases, each on a separate line.
Every test case denotes a proposition and may contain arbitrary amounts of spaces in between.
The input file terminates immediately after the newline symbol following the last test case.

Output Specification


For each test case generate a truth table for the denoted proposition.
Start the truth table by repeating the input line.
Evaluate the proposition (and its subformulas) for all assignments to its variables, and output one line for each assignment.
The line must have the same length as the corresponding input line and must consist only of spaces and the characters 0 and 1.
Output an empty line after each test case.




Let s1,...,sn be the proposition symbols in the denoted proposition sorted in alphabetic order.
Then, all assignments of 0 to s1 must precede the assignments of 1 to s1.
Within each of these blocks of assignments, all assignments of 0 to s2 must precede the assignments of 1 to s2, and so on.


Sample Input


((b --> a) <-> ((! a) --> (! b)))
  ((y &  a)   -  ->(c |c))

Sample Output


((b --> a) <-> ((! a) --> (! b)))
  0  1  0   1    1 0   1   1 0   
  1  0  0   1    1 0   0   0 1   
  0  1  1   1    0 1   1   1 0   
  1  1  1   1    0 1   1   0 1   

  ((y &  a)   -  ->(c |c))
    0 0  0       1  0 00  
    1 0  0       1  0 00  
    0 0  0       1  1 11  
    1 0  0       1  1 11  
    0 0  1       1  0 00  
    1 1  1       0  0 00  
    0 0  1       1  1 11  
    1 1  1       1  1 11"	Wanderley GuimarÄes	2007-09-14	1s	50000B	1536MB	Cube (Intel G860)	All except: ERL JS-RHINO	University of Ulm Local Contest 2004	https://www.spoj.com//problems/BOOLE
DNALAB - DNA Laboratory	"Having started to build his own DNA lab just recently, the evil doctor Frankenstein is not quite
  up to date yet. He wants to extract his DNA, enhance it somewhat and clone himself. He has
  already figured out how to extract DNA from some of his blood cells, but unfortunately reading
  off the DNA sequence means breaking the DNA into a number of short pieces and analyzing those
  first. Frankenstein has not quite understood how to put the pieces together to recover the original sequence."	AndrÃ©s Leonardo Rojas Duarte	2007-09-15	2.052s	50000B	1536MB	Cube (Intel G860)	All except: ERL JS-RHINO NODEJS PERL6 VB.NET	TUD Programming Contest 2004	https://www.spoj.com//problems/DNALAB
ICAMPSEQ - IOICamp Sequence	"Let's say we have 4 N-elements sequences of real numbers: A[], B[], C[], D[] .
Funtion F(i, j) is defined: F(i, j) = |Ai - Aj| + |Bi - Bj| + |Ci - Cj| + |Di - Dj| (1 â¤ i, j â¤ N).
Your task is very easy: you have to find the maximum of F(i, j).

Input
The first line: N (N â¤ 100000).
Following are N lines: the i-th line contains four real numbers Ai, Bi, Ci, Di. (-109 â¤ Ai, Bi, Ci, Di â¤ 109)

Output
Only one line is the maximum of F(i, j).
(The result takes exactly 3 decimal places)
Example

Input:
2
1.0 1.0 2.0 0.5
1.0 1.0 0.5 2.0

Output:
3.000"	Nghia Nguyen Hoang	2007-09-18	0.100s	50000B	1536MB	Cube (Intel G860)	All except: ERL JS-RHINO NODEJS PERL6 VB.NET	IOICamp and Ms. Thanh Vy Hua Le	https://www.spoj.com//problems/ICAMPSEQ
CODE - Code	KEY Inc., the leading company in security hardware, has developed a new kind of safe. To unlock it, you don't need a key but you are required to enter the correct n-digit code on a keypad (as if this were something new!). There are several models available, from toy safes for children (with a 2-digit code) to the military version (with a 6-digit code).	Wanderley GuimarÄes	2007-09-19	0.200s	50000B	1536MB	Cube (Intel G860)	All	University of Ulm Local Contest 2004	https://www.spoj.com//problems/CODE
DANGER - In Danger	"Flavius Josephus and 40 fellow rebels were trapped by the Romans.
His companions preferred suicide to surrender, so they decided to form a circle and to kill every third person and to proceed around the circle until no one was left.
Josephus was not excited by the idea of killing himself, so he calculated the position to be the last man standing (and then he did not commit suicide since nobody could watch)."	Wanderley GuimarÄes	2007-09-19	1s	50000B	1536MB	Cube (Intel G860)	All except: ERL JS-RHINO	University of Ulm Local Contest 2004	https://www.spoj.com//problems/DANGER
ENCONDIN - Run Length Encoding	Your task is to write a program that performs a simple form of run-length encoding, as described by the rules below.	Wanderley GuimarÄes	2007-09-19	0.303s	50000B	1536MB	Cube (Intel G860)	All except: ERL JS-RHINO	University of Ulm Local Contest 2004	https://www.spoj.com//problems/ENCONDIN
FRACTAN - Fractan	Formally, we define a sequence by S0=N, and Sj+1=fiSj, if for 1<=i<=k, the number fiSj is an integer but the numbers f1Sj, ..., fi-1Sj are not.	Wanderley GuimarÄes	2007-09-19	0.303s	50000B	1536MB	Cube (Intel G860)	All except: ERL JS-RHINO	University of Ulm Local Contest 2004	https://www.spoj.com//problems/FRACTAN
